,city,lat,lon,countries,humidity,cloudiness,max_temp,wind_speed
0,Kangaatsiaq,68.31,-53.46,GL,71,85,27.16,6.58
1,Lakes Entrance,-37.88,147.99,AU,89,96,64.0,3.0
2,Pakxan,18.39,103.66,LA,91,26,68.85,2.33
3,Rafai,4.95,23.92,CF,95,18,69.19,0.49
4,Albany,42.65,-73.75,US,49,40,46.4,6.93
5,Castro,-42.48,-73.76,CL,66,75,53.6,9.17
6,Tessalit,20.2,1.01,ML,23,37,76.96,7.94
7,Busselton,-33.64,115.35,AU,62,82,60.01,7.38
8,Dikson,73.51,80.55,RU,83,77,0.01,2.82
9,Atuona,-9.8,-139.03,PF,69,83,80.47,11.23
10,Mataura,-46.19,168.86,NZ,44,0,72.23,14.16
11,Georgetown,6.8,-58.16,GY,88,20,84.2,4.7
12,Tasiilaq,65.61,-37.64,GL,63,100,30.2,5.82
13,Rikitea,-23.12,-134.97,PF,78,79,70.52,14.25
14,Norden,53.59,7.21,DE,76,90,54.0,14.99
15,Saint-Philippe,45.36,-73.48,CA,65,90,44.01,4.7
16,Talnakh,69.49,88.39,RU,83,100,-14.81,4.47
17,Clarksdale,34.2,-90.57,US,47,1,57.2,4.99
18,Norman Wells,65.28,-126.83,CA,85,75,21.2,8.05
19,Carnarvon,-30.97,22.13,ZA,28,0,58.98,8.97
20,Kodinsk,58.6,99.18,RU,75,100,23.22,7.72
21,Porec,45.23,13.59,HR,93,100,63.0,10.29
22,Northam,-31.65,116.67,AU,93,90,51.8,3.36
23,Mayumba,-3.44,10.65,GA,81,100,77.32,0.51
24,Jamestown,-33.21,138.6,AU,38,42,64.67,9.82
25,Constitucion,23.99,-104.67,MX,27,75,77.0,17.22
26,Marawi,8.0,124.29,PH,94,33,75.0,5.01
27,Port Alfred,-33.59,26.89,ZA,84,10,63.0,3.0
28,Barrow,-38.31,-60.23,AR,89,0,46.8,3.33
29,Umm Kaddadah,13.6,26.69,SD,17,10,79.41,14.32
30,Ushuaia,-54.81,-68.31,AR,53,40,51.8,12.75
31,Upernavik,72.79,-56.15,GL,69,100,22.33,8.34
32,Saldanha,41.42,-6.55,PT,80,100,52.27,22.64
33,Alofi,-19.06,-169.92,NU,60,100,75.2,12.75
34,Lorengau,-2.02,147.27,PG,72,100,85.01,17.43
35,Saint-Francois,46.42,3.91,FR,58,90,57.2,8.05
36,Longyearbyen,78.22,15.63,NO,57,42,17.6,18.34
37,Nauta,-4.51,-73.58,PE,68,94,80.89,1.32
38,Santiago de Cao,-7.96,-79.24,PE,82,75,64.4,12.75
